plane_id,new_roi_idx,old_roi_idx,snr,out_dir
14,0,8,2.529247467821373,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
14,1,13,1.3513755079275032,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
14,2,14,1.4635245151220346,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
14,3,15,1.5482372931228796,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
14,4,17,1.5301393627979343,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
14,5,18,1.608356910860032,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
14,6,19,1.4217161287035949,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
14,7,48,1.4296582703095335,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
14,8,53,1.3385565776464963,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane14\suite2p\plane0
19,0,3,1.8939370492783592,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,1,10,2.0110400617406756,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,2,11,2.353344180996063,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,3,13,2.431503519213433,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,4,14,1.7809117671582577,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,5,17,1.8947632065971918,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,6,18,1.5503570907193653,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,7,23,1.6486255754129227,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,8,24,2.8253708840226497,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,9,25,1.2930841889259213,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
