component,plane,roi,snr,kept,kept_plane,kept_roi,n_in_component
0,14,0,1.615321549586646,0,19,3,2
0,19,3,1.8939370492783592,1,19,3,2
1,14,1,1.80192306451215,0,24,4,3
1,19,0,3.964877133095303,0,24,4,3
1,24,4,4.198120908727838,1,24,4,3
2,14,4,1.566038842343362,0,24,11,3
2,19,2,1.9695309518771453,0,24,11,3
2,24,11,2.239255976006519,1,24,11,3
3,14,5,1.7774948382030167,0,19,11,3
3,19,11,2.353344180996063,1,19,11,3
3,24,17,2.1202901782754364,0,19,11,3
5,14,12,1.759946460309274,0,24,60,3
5,19,16,2.076893597960955,0,24,60,3
5,24,60,2.2581577121776055,1,24,60,3
12,14,21,1.4907220112401305,0,19,14,2
12,19,14,1.7809117671582577,1,19,14,2
16,19,1,1.7225489021005522,0,24,1,3
16,24,1,1.816494765835787,1,24,1,3
16,29,15,1.4829837031626365,0,24,1,3
19,19,6,2.1638390216038617,0,24,9,2
19,24,9,2.7816162801753768,1,24,9,2
20,19,9,1.760903367818275,0,24,3,3
20,24,3,1.839200025074882,1,24,3,3
20,29,16,1.5428738923330725,0,24,3,3
23,19,12,1.801091746902699,0,24,0,3
23,24,0,2.4060484027446862,1,24,0,3
23,29,0,1.7131106650069692,0,24,0,3
29,19,19,2.698610899102538,0,24,25,2
29,24,25,3.0706123719723477,1,24,25,2
45,19,52,2.112966361199592,0,24,92,3
45,24,92,3.0036993798241114,1,24,92,3
45,29,107,1.8364954663117394,0,24,92,3
60,19,115,3.7088805899915513,0,24,45,2
60,24,45,5.126035107347186,1,24,45,2
66,24,5,2.0155654089164377,1,24,5,2
66,29,1,1.7577053961448368,0,24,5,2
70,24,10,2.102099941943364,1,24,10,2
70,29,3,1.7526768723579553,0,24,10,2
76,24,20,2.5680715095318427,1,24,20,2
76,29,25,1.9375622762162912,0,24,20,2
80,24,26,1.7826451374519587,1,24,26,2
80,29,12,1.6262930623463396,0,24,26,2
84,24,32,1.8055442756206308,1,24,32,2
84,29,6,1.6350872103470562,0,24,32,2
86,24,35,1.6331358841121404,1,24,35,2
86,29,62,1.4821695032192501,0,24,35,2
90,24,39,1.683082967950457,1,24,39,2
90,29,13,1.5466718822038468,0,24,39,2
91,24,40,2.3949612793160324,1,24,40,2
91,29,58,1.7697063787369214,0,24,40,2
93,24,44,2.191527888126768,1,24,44,2
93,29,21,2.039765242882726,0,24,44,2
99,24,57,1.615983499330233,1,24,57,2
99,29,23,1.5046548709932894,0,24,57,2
109,24,70,2.9517390788448736,1,24,70,2
109,29,57,2.2570622489378973,0,24,70,2
114,24,86,1.8264622366973666,1,24,86,2
114,29,35,1.600367259622698,0,24,86,2
116,24,88,1.7008628177813727,1,24,88,2
116,29,69,1.5616609007708422,0,24,88,2
124,24,106,2.6467840580108564,0,29,40,2
124,29,40,2.6546963329975464,1,29,40,2
125,24,111,1.508171447680593,1,24,111,2
125,29,79,1.4494117460026614,0,24,111,2
155,24,187,2.2171145527672396,1,24,187,2
155,29,72,1.7466730466612974,0,24,187,2
