i,j,plane_i,roi_i,plane_j,roi_j,d_xy_px,corr,snr_i,snr_j,keep
12,25,14,21,19,14,5.578761612063185,0.6391896022110996,1.4907220112401305,1.7809117671582577,j
3,22,14,5,19,11,0.8296574345782941,0.7049305291368763,1.7774948382030167,2.353344180996063,j
76,180,24,20,29,25,0.43214837404492407,0.7526825166275875,2.5680715095318427,1.9375622762162912,i
116,207,24,88,29,69,2.096997559710572,0.6195896996971071,1.7008628177813727,1.5616609007708422,i
1,15,14,1,19,0,0.46501256790342405,0.6147627468306188,1.80192306451215,3.964877133095303,j
22,74,19,11,24,17,0.7827311493443614,0.6556332825161876,2.353344180996063,2.1202901782754364,i
91,201,24,40,29,58,0.34074459446914473,0.6549285561042102,2.3949612793160324,1.7697063787369214,i
62,165,24,0,29,0,1.3804019239112475,0.7113172269373521,2.4060484027446862,1.7131106650069692,i
60,94,19,115,24,45,1.23701433126483,0.8594345664883954,3.7088805899915513,5.126035107347186,j
118,218,24,92,29,107,1.0997252690098844,0.6684270965948075,3.0036993798241114,1.8364954663117394,i
17,71,19,2,24,11,0.28971543976881403,0.7330501556921937,1.9695309518771453,2.239255976006519,j
90,174,24,39,29,13,1.4932366428073753,0.691275663926587,1.683082967950457,1.5466718822038468,i
63,175,24,1,29,15,1.494392641334943,0.6746416109991639,1.816494765835787,1.4829837031626365,i
16,63,19,1,24,1,0.7164176162576814,0.6344649851173313,1.7225489021005522,1.816494765835787,j
99,179,24,57,29,23,0.710553281747801,0.6817014769820949,1.615983499330233,1.5046548709932894,i
93,177,24,44,29,21,1.0382087824535284,0.8057649585182947,2.191527888126768,2.039765242882726,i
155,210,24,187,29,72,0.758748247132739,0.7416114992440301,2.2171145527672396,1.7466730466612974,i
29,79,19,19,24,25,0.9546057802928165,0.7795393748667121,2.698610899102538,3.0706123719723477,j
84,170,24,32,29,6,2.5632720972163283,0.6552556437853053,1.8055442756206308,1.6350872103470562,i
0,18,14,0,19,3,0.28206112765931923,0.6675753311479765,1.615321549586646,1.8939370492783592,j
70,168,24,10,29,3,0.9577008675012065,0.7333322958824461,2.102099941943364,1.7526768723579553,i
2,17,14,4,19,2,1.2959301883316783,0.7227189997698527,1.566038842343362,1.9695309518771453,j
66,166,24,5,29,1,1.3732386310506977,0.7985597578426559,2.0155654089164377,1.7577053961448368,i
26,102,19,16,24,60,1.1974990981090383,0.6521328429355164,2.076893597960955,2.2581577121776055,j
45,118,19,52,24,92,1.1505603998848428,0.6540569743359069,2.112966361199592,3.0036993798241114,j
20,64,19,9,24,3,0.7088856341066848,0.6807861649940832,1.760903367818275,1.839200025074882,j
23,62,19,12,24,0,0.6448519026918255,0.6499009036974706,1.801091746902699,2.4060484027446862,j
86,203,24,35,29,62,1.7232326158578846,0.6067171399359089,1.6331358841121404,1.4821695032192501,i
125,213,24,111,29,79,1.6605104788961398,0.6121207076589216,1.508171447680593,1.4494117460026614,i
19,69,19,6,24,9,5.670481590606325,0.7203009423272005,2.1638390216038617,2.7816162801753768,j
2,71,14,4,24,11,1.4007478961838986,0.6080050399984684,1.566038842343362,2.239255976006519,j
15,65,19,0,24,4,0.6953653896020672,0.8802607282043887,3.964877133095303,4.198120908727838,j
114,187,24,86,29,35,0.4373591225751143,0.709312059944804,1.8264622366973666,1.600367259622698,i
80,173,24,26,29,12,1.3604878632892714,0.6325877378286989,1.7826451374519587,1.6262930623463396,i
109,200,24,70,29,57,0.7322135526879423,0.7987986801698552,2.9517390788448736,2.2570622489378973,i
124,191,24,106,29,40,2.6673050018159983,0.7940339697317181,2.6467840580108564,2.6546963329975464,j
5,26,14,12,19,16,0.2061842225312711,0.637814146305775,1.759946460309274,2.076893597960955,j
64,176,24,3,29,16,1.453820167785462,0.6866412510623865,1.839200025074882,1.5428738923330725,i
