m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted
14,0,recovered_bin,111.84688053191621,32.38921072759301,-7.0,0.6226460077517254,1,-1,,8.0,4,1
14,1,recovered_bin,89.3007021501503,100.75669818173229,-7.0,0.4644099143704221,4,-1,,8.0,4,1
14,4,recovered_bin,45.63018702877528,68.5550276652192,-1.0,0.4878974868378265,1,-1,,14.0,4,1
14,5,recovered_bin,145.92804876079646,14.405022946133277,-3.0,0.6351365506798974,2,-1,,12.0,4,1
14,8,matched_trusted,76.04454885864496,84.39773868589697,-5.0,0.6406415965693004,1,8,2.0722217142249635,10.0,,1
14,12,matched_trusted,103.31707272226403,48.77674107843817,-13.333333333333334,0.531342787683788,2,96,1.5647522868091621,1.666666666666666,,1
14,13,matched_trusted,78.20715634308294,31.310366703668414,-10.0,0.4377287997255892,3,148,3.2162085523221204,5.0,,1
14,14,recovered_bin,158.86308029887994,8.536535344988312,-11.0,0.4944850351095792,4,-1,,4.0,4,1
14,15,recovered_bin,142.28932838068468,30.29480529621078,-11.0,0.49486509379070764,2,-1,,4.0,4,1
14,17,recovered_bin,49.91488635744764,88.39968229034412,-5.0,0.4322993783176884,1,-1,,10.0,4,1
14,18,recovered_bin,42.796788635097165,84.20521192069361,-1.0,0.4718003892273162,2,-1,,14.0,4,1
14,19,recovered_bin,152.85586645058586,8.59324221607125,-15.0,0.42515956556935275,3,-1,,0.0,3,1
14,21,recovered_bin,129.16596028860383,57.70240459531303,-1.0,0.5523110916939291,2,-1,,14.0,4,1
14,48,recovered_bin,116.79103457613132,58.586284675371566,1.0,0.5075594121241186,2,-1,,16.0,4,1
14,53,recovered_bin,17.83034422482978,128.74918062797855,1.0,0.3332879530041876,4,-1,,16.0,4,1
19,0,matched_trusted,90.54498830511908,101.0376204083162,-4.0,0.636713931835625,1,5,1.722362470081359,1.0,,1
19,1,recovered_bin,147.67338937646295,47.1602882821953,-5.0,0.710223956741745,3,-1,,0.0,4,1
19,2,recovered_bin,45.83482974906483,67.04640083904869,3.0,0.6554316377645355,1,-1,,8.0,4,1
19,3,matched_trusted,115.22821535978478,36.20766201923022,-12.0,0.6195172081285991,2,97,2.852670652483971,7.0,,1
19,6,matched_trusted,23.914619279377046,136.79796011311942,-2.0,0.6673988720850622,2,141,0.6312802427551499,3.0,,1
19,9,matched_trusted,43.734297922878994,194.92860375376264,0.5,0.635458349445621,1,0,1.754180643146981,5.5,,1
19,10,recovered_bin,191.55675814923484,130.9407311155014,15.0,0.40914761431619345,3,-1,,20.0,4,1
19,11,matched_trusted,148.2348651467195,15.213079037433097,-14.0,0.6676479186508539,3,146,5.202693628054666,9.0,,1
19,12,recovered_bin,40.10020369764663,146.00098772308777,9.0,0.6056681628281724,4,-1,,14.0,4,1
19,13,recovered_bin,26.274671849142475,95.82503714170801,3.0,0.6851804017843609,4,-1,,8.0,4,1
19,14,matched_trusted,126.29889414030565,56.27223461719491,-6.0,0.6342382813339986,3,144,2.234595721303592,1.0,,1
19,16,recovered_bin,102.11754303321416,48.42341284857096,-1.0,0.6069294873720498,4,-1,,4.0,4,1
19,17,matched_trusted,108.70887993532205,8.248383611486787,1.0,0.5781670815864836,1,44,1.5844998999201287,6.0,,1
19,18,recovered_bin,163.7945626599199,9.377814653619705,-5.0,0.5628111090298542,4,-1,,0.0,4,1
19,19,recovered_bin,33.66258132745103,248.4376094164502,7.0,0.7107120363482797,2,-1,,12.0,4,1
19,23,recovered_bin,108.34618635868293,196.22906145561896,-3.0,0.4740734783465521,2,-1,,2.0,4,1
19,24,recovered_bin,23.038714623394878,172.58786540234186,9.0,0.676719139490357,1,-1,,14.0,4,1
19,25,recovered_bin,170.75417658279054,49.82667698140395,-5.0,0.3787461250203187,4,-1,,0.0,4,1
19,28,recovered_bin,30.099976394424743,71.325466617104,-3.0,0.5556054186075868,2,-1,,2.0,4,1
19,30,recovered_bin,79.62090725257075,27.50402283190156,-7.0,0.5108129136204972,2,-1,,2.0,4,1
19,32,recovered_bin,44.904858678576176,173.1346847299061,5.0,0.47850421367264645,4,-1,,10.0,4,1
19,33,matched_trusted,136.91231071175125,28.465474198244287,-3.0,0.40648734211162035,3,154,3.8750742371471856,2.0,,1
19,34,recovered_bin,101.66836765078722,106.30441773765142,-3.0,0.3989711513383202,2,-1,,2.0,4,1
19,35,recovered_bin,172.05143589410466,61.451425264413565,-1.0,0.5317480797566394,2,-1,,4.0,4,1
19,38,matched_trusted,151.68806580135072,6.628425423805044,0.0,0.4502338998340082,2,98,1.578287916833912,5.0,,1
19,43,recovered_bin,18.655683513006114,32.10515802047146,-11.0,0.4893606871223686,2,-1,,6.0,4,1
19,45,recovered_bin,32.85848517081788,9.384915778276852,-1.0,0.5291329381118048,4,-1,,4.0,4,1
19,46,recovered_bin,157.50292338467128,39.712964030794474,-1.0,0.4345164357807425,3,-1,,4.0,4,1
19,48,recovered_bin,79.33435011931148,220.91536222035168,1.0,0.4600809578415662,2,-1,,6.0,4,1
19,51,recovered_bin,113.57463429408593,90.51793690307453,-3.0,0.41398194119111553,2,-1,,2.0,4,1
19,52,recovered_bin,69.25355995821721,172.2751789831583,1.0,0.5530112858909234,2,-1,,6.0,4,1
19,53,recovered_bin,186.43385896726556,29.339989870268482,-1.0,0.43896139839258397,3,-1,,4.0,4,1
19,56,recovered_bin,10.973679960541766,47.31104786929896,1.0,0.45286536488098483,2,-1,,6.0,4,1
19,61,recovered_bin,165.8401435702332,148.3931663384105,1.0,0.5366562258587507,1,-1,,6.0,4,1
19,64,matched_trusted,10.0134746827403,17.7905064230527,-4.5,0.49429499630616947,1,62,1.8528301968431558,0.5,,1
19,65,recovered_bin,38.24006383516404,29.31341888537711,-3.0,0.35561401780082086,2,-1,,2.0,4,1
19,69,recovered_bin,193.01316802195228,11.534568149114882,-7.0,0.39159432745954637,2,-1,,2.0,4,1
19,70,recovered_bin,130.1079596982855,73.1378772169444,1.0,0.3931070836434437,4,-1,,6.0,4,1
19,72,recovered_bin,125.04517970963953,97.03536071380138,-5.0,0.3438846963722367,2,-1,,0.0,4,1
19,73,recovered_bin,117.66653795958084,60.09194319384059,-3.0,0.5990183673129175,3,-1,,2.0,4,1
19,75,recovered_bin,108.13171368336512,100.50195763477562,-11.0,0.3638893228688056,2,-1,,6.0,4,1
19,76,recovered_bin,83.54512423011148,210.0912858393348,3.0,0.5424546595934001,4,-1,,8.0,4,1
19,77,recovered_bin,124.01910604510745,159.82541732576868,-1.0,0.441586120875774,4,-1,,4.0,4,1
19,87,recovered_bin,60.69617454016611,90.02678011813641,3.0,0.4459998225608514,1,-1,,8.0,4,1
19,97,recovered_bin,125.63924621338536,17.85341209093844,-13.0,0.2973939509741635,3,-1,,8.0,3,1
19,115,recovered_bin,40.32801095002216,113.59987365359048,1.0,0.6727628460144434,4,-1,,6.0,4,1
19,123,recovered_bin,20.020387202397043,121.57027793008116,1.0,0.5294379733118175,4,-1,,6.0,4,1
24,0,recovered_bin,38.49340787279345,145.51527074995468,7.0,0.6571532599152706,3,-1,,2.0,4,1
24,1,matched_trusted,146.52577686551155,48.202890121143,-0.5,0.5710636955976306,1,31,2.096667063205404,5.5,,1
24,3,recovered_bin,43.32002724293811,193.90009526361445,5.0,0.594494809747748,3,-1,,0.0,4,1
24,4,recovered_bin,89.31648716619019,97.28530184918635,3.0,0.664836059073644,2,-1,,2.0,4,1
24,5,recovered_bin,234.295605617815,22.59204598722419,5.0,0.7226655751880432,2,-1,,0.0,4,1
24,6,recovered_bin,13.050898504166248,54.74684603286149,1.0,0.5433541799144188,2,-1,,4.0,4,1
24,7,recovered_bin,157.38363745591934,38.435613177105,3.0,0.567280542338534,2,-1,,2.0,4,1
24,9,matched_trusted,29.359622105569063,134.68535464974005,8.0,0.6896715987877845,3,185,0.15986647540182689,3.0,,1
24,10,recovered_bin,174.3522426539133,227.39946294751212,9.0,0.6859367774858488,4,-1,,4.0,4,1
24,11,recovered_bin,44.80016771290386,65.33517778158347,-1.0,0.6256753534639357,1,-1,,6.0,4,1
24,15,recovered_bin,114.83643351929668,33.639766517991596,-3.0,0.6691772906745062,2,-1,,8.0,4,1
24,16,matched_trusted,65.07770392954984,217.2954054945296,4.0,0.6105279880726667,1,7,1.2369123089498775,1.0,,1
24,17,matched_trusted,142.84176858112136,16.149304205065185,1.0,0.5889334261565883,1,18,3.8206302209863705,4.0,,1
24,19,matched_trusted,105.56008689549945,198.5532623832123,4.0,0.5573660600461161,1,24,2.094376453428953,1.0,,1
24,20,matched_trusted,233.95396432637742,210.2851158540578,12.666666666666666,0.5617172872574526,1,83,2.3649398515750377,7.666666666666666,,1
24,21,recovered_bin,125.05397556494425,160.98930406900163,11.0,0.5547868436973472,2,-1,,6.0,4,1
24,23,recovered_bin,33.15962557002614,222.92242777133853,7.0,0.4542734569165697,1,-1,,2.0,4,1
24,25,matched_trusted,34.747641184123154,248.99751464044232,3.0,0.7002072882931983,1,12,0.6197571977218163,2.0,,1
24,26,recovered_bin,208.3522563394062,43.080850236557495,11.0,0.6015435719019553,2,-1,,6.0,4,1
24,28,matched_trusted,208.42515231091545,60.8746693936594,10.0,0.4305976843942029,2,93,2.583867805206366,5.0,,1
24,29,matched_trusted,7.473845423470521,117.31234480544268,11.0,0.7244751434796515,1,26,2.846332513365505,6.0,,1
24,31,recovered_bin,186.58923648382537,29.090375541535064,3.0,0.6725388259560554,2,-1,,2.0,4,1
24,32,matched_trusted,78.96611034876943,224.29413274929402,12.5,0.5530396338471496,1,34,2.1003247647503236,7.5,,1
24,33,matched_trusted,153.02575126056075,123.57938291576812,4.0,0.48163730645001784,2,122,2.8374008313071224,1.0,,1
24,35,matched_trusted,134.88575355295407,60.66605636238598,0.6666666666666666,0.5568384960774849,2,116,3.6482352176120694,4.333333333333333,,1
24,36,matched_trusted,213.7993960476928,114.35913898080334,13.5,0.5661184962095178,1,54,2.5086448006491664,8.5,,1
24,37,matched_trusted,69.73705887481336,209.7145251506908,8.0,0.5390842554558627,3,163,2.0319007116592607,3.0,,1
24,38,matched_trusted,45.25983066442488,177.66881928447242,8.0,0.44768506722800294,3,150,2.4043703372635767,3.0,,1
24,39,recovered_bin,192.18250863406655,225.34348051890564,13.0,0.5207965161949814,2,-1,,8.0,4,1
24,40,matched_trusted,210.9928704616916,31.808962196159754,10.0,0.5354579972704441,1,14,1.6690743223678302,5.0,,1
24,41,recovered_bin,172.05952134186637,49.08351202784384,5.0,0.49990644869967676,4,-1,,0.0,4,1
24,44,recovered_bin,243.8219932737677,155.5127497239233,11.0,0.7296979007474339,3,-1,,6.0,4,1
24,45,matched_trusted,40.92435210240295,111.76096872706722,0.5,0.6595130588320793,1,35,0.6297513807130919,4.5,,1
24,47,recovered_bin,21.924431457179647,23.433673204692933,9.0,0.3131843992186959,2,-1,,4.0,4,1
24,49,recovered_bin,164.19591964215996,7.017266328580454,9.0,0.6028737670784704,3,-1,,4.0,4,1
24,52,matched_trusted,81.9092093508352,109.11212635115277,-5.0,0.5011257084206691,3,162,3.0716113362134863,10.0,,1
24,54,matched_trusted,27.056334039556138,156.39531289038666,13.0,0.5742031669576942,1,48,0.39155525342153347,8.0,,1
24,57,matched_trusted,204.24526734149887,152.62439566561437,12.0,0.4920862955740249,1,85,1.3783265683548631,7.0,,1
24,58,recovered_bin,9.34877142350494,47.02998422820964,3.0,0.5241681396949087,2,-1,,2.0,4,1
24,59,matched_trusted,144.24938928333518,206.47888013826545,14.0,0.5414023363433563,1,23,2.2097551758177136,9.0,,1
24,60,recovered_bin,104.29169335630198,47.68153320072175,3.0,0.6532867307970269,2,-1,,2.0,4,1
24,61,matched_trusted,50.95705518120761,88.54448727004524,-6.0,0.41640892337850505,1,40,2.719016214173297,11.0,,1
24,62,recovered_bin,60.117340510875295,211.35069021435854,3.0,0.42562871283614995,3,-1,,2.0,4,1
24,63,recovered_bin,236.64556771408493,121.81101295050698,9.0,0.4012634028662552,2,-1,,4.0,4,1
24,64,recovered_bin,19.787916676691992,121.6230903830725,5.0,0.7021145953817407,3,-1,,0.0,4,1
24,66,recovered_bin,78.89174861606283,29.5133320836217,3.0,0.4813819010223071,2,-1,,2.0,4,1
24,68,recovered_bin,234.10174920284348,221.52499031938845,7.0,0.6619122774253773,3,-1,,2.0,4,1
24,70,matched_trusted,210.07384734116962,220.61260413905384,10.666666666666666,0.6766291013660063,2,106,2.5742358830063283,5.666666666666666,,1
24,71,recovered_bin,214.75051792901405,67.67822690310393,5.0,0.5249426134118242,3,-1,,0.0,4,1
24,73,recovered_bin,71.53430293036459,123.73006640792708,5.0,0.5039291989855318,1,-1,,0.0,4,1
24,77,matched_trusted,82.87672191145803,212.34148360244689,3.0,0.4392832282340652,2,99,2.3990183024187095,2.0,,1
24,81,recovered_bin,75.3098373981107,189.81703158446976,9.0,0.4958176167564798,1,-1,,4.0,4,1
24,86,recovered_bin,183.49224703616835,221.02084797376435,13.0,0.5121796800560042,2,-1,,8.0,4,1
24,87,matched_trusted,215.40987782495836,20.562552920556325,10.0,0.5969448245489782,3,145,2.9534559893878654,5.0,,1
24,88,recovered_bin,161.50988856540508,55.18522236723221,-1.0,0.5090161871741085,3,-1,,6.0,4,1
24,90,recovered_bin,109.84963641667069,227.05085265606732,11.0,0.543502556820644,3,-1,,6.0,4,1
24,92,matched_trusted,68.25079201452384,174.31833424380326,-0.6666666666666666,0.6505300329322017,2,119,1.136730752124656,5.666666666666667,,1
24,93,recovered_bin,244.83983109347696,50.13357403608587,13.0,0.6562675444753712,3,-1,,8.0,4,1
24,94,recovered_bin,146.42940802462937,104.28169862463608,5.0,0.5148463543166817,2,-1,,0.0,4,1
24,99,recovered_bin,133.2116253388214,73.68738078506175,9.0,0.5198091369207785,4,-1,,4.0,4,1
