m2_plane,m2_roi,col,row,z2,best_z,best_r,r_v1,r_v2,r_v3,r_v4,n_pass,accepted,primary_view,used_warped_fp
19,30,79.62090725257075,27.50402283190156,-5.0,-5.0,0.595382297713052,0.4722572155363693,0.4984874582323097,0.595382297713052,0.4836082440630643,4,1,2,1
24,21,125.05397556494425,161.98930406900163,5.0,9.0,0.5547868436973472,0.5167062245505896,0.5547868436973472,0.5380761501182306,0.5096732947480758,4,1,2,1
19,10,193.55675814923484,129.9407311155014,-5.0,3.0,0.4115524882568956,0.3414972337123769,0.37284494902607257,0.4115524882568956,0.40914761431619345,4,1,1,1
24,106,197.2842600995367,122.92495186673573,5.0,5.0,0.3323768505051662,0.22428504374298017,0.23770129438466572,0.29207349495892587,0.3323768505051662,4,1,3,1
29,80,215.57543808608676,138.4788429978959,15.0,5.0,0.41252260186314443,0.35030099900738343,0.41252260186314443,0.3226977632457335,0.3591536693394322,4,1,1,1
29,16,43.544824816785464,194.3421916904499,15.0,3.0,0.4306066136471831,0.4121935761696256,0.42729730451555054,0.4062606292749233,0.4306066136471831,4,1,2,1
29,54,186.94460118600472,30.56748906943978,15.0,15.0,0.30935253333859064,0.20878857256281833,0.2679893936041209,0.30935253333859064,0.30840507150423346,4,1,4,1
24,90,109.84963641667069,227.05085265606732,5.0,5.0,0.5657806848489181,0.36738308795736524,0.4511752047276558,0.543502556820644,0.5657806848489181,4,1,2,1
29,90,20.827326573637187,131.69381968989404,15.0,13.0,0.3713599127762928,0.3048998170698846,0.3510648454081628,0.30174117178898346,0.3713599127762928,4,1,3,1
29,13,193.30652703438147,224.55999450488483,15.0,7.0,0.518435592743646,0.4043109392809585,0.3872011451639915,0.3873845786719718,0.518435592743646,4,1,2,1
24,58,10.34877142350494,46.02998422820964,5.0,5.0,0.5642528786558689,0.4363763846787952,0.5172029245450946,0.5642528786558689,0.462059148627897,4,1,4,1
24,102,91.58654532493237,147.57554462403374,5.0,-3.0,0.42793526293730255,0.2323989354429786,0.37120240684922845,0.42793526293730255,0.26428346430422456,4,1,3,1
24,130,187.8289404627414,49.048147268016145,5.0,-1.0,0.7382127899285141,0.7040809092468862,0.7382127899285141,0.7357944657333727,0.7021009874692204,4,1,4,1
24,68,236.10174920284348,222.52499031938845,5.0,7.0,0.6575940299130536,0.6316805100350509,0.6575940299130536,0.641540649416799,0.6375167261340837,4,1,1,1
24,254,145.43129711250222,91.63007449483091,5.0,5.0,0.423028944200866,0.3016511991133018,0.423028944200866,0.4122789017656405,0.24578718557110624,4,1,4,1
