shuffle,shift,accuracy,f1,precision,recall
1,1845,0.6100000000000001,0.1592645906303146,0.34362790916301356,0.14494965632525977
2,2287,0.6335555555555554,0.20512006861737442,0.4414485699841224,0.16936347044004843
3,2036,0.5439999999999999,0.12203684901065266,0.19161211275543502,0.14752297922860183
4,582,0.5728888888888889,0.13136260736841301,0.29976928603667663,0.12156566921795087
5,3378,0.55,0.1795631022981675,0.37037211811465426,0.25927286583546466
6,4153,0.5722222222222222,0.25519940783242634,0.33235626755086656,0.2682182343198872
7,2817,0.5362222222222222,0.11675142504037736,0.2974569185060366,0.13060338234557137
8,3057,0.6304444444444446,0.3109340838170785,0.5377087555933361,0.2668670232559006
9,1343,0.5693333333333334,0.1708078789656635,0.3162568112962781,0.15448320041406438
10,2029,0.5642222222222222,0.14983628233054416,0.3065498047856267,0.17213125991611716
11,1659,0.5882222222222223,0.21639249133668037,0.4556490721918024,0.19167505397990858
12,2970,0.5837777777777778,0.17331287380684238,0.46864786836729105,0.16408921064500107
13,1959,0.5935555555555556,0.13182651253034217,0.3055615198068656,0.10840173830618441
14,499,0.588888888888889,0.2135371525790907,0.34342092040088446,0.183838640954672
15,3382,0.5462222222222222,0.18193135699829885,0.35921015668123546,0.26316470070437586
16,2337,0.6375555555555555,0.261825669496882,0.4653214042970034,0.22784357153035978
17,2237,0.5968888888888888,0.21334022002873132,0.3306897433567498,0.18880143183027376
18,3289,0.5868888888888889,0.2045822907033971,0.4750686758856032,0.15521976238256543
19,1032,0.4851111111111111,0.07061815565023716,0.16956468714303838,0.06715816632563312
20,3600,0.5946666666666667,0.1759136310829144,0.41495693869335176,0.137320179450854
21,2462,0.6522222222222223,0.2570773106210867,0.38989203695905117,0.24853506493488306
22,3539,0.582,0.148762161142167,0.4132730062335326,0.13459876684964073
23,892,0.5402222222222222,0.1267110431898344,0.3989871995820272,0.08294847034084071
24,3020,0.6337777777777778,0.27499062174017014,0.49229781113188825,0.24744301000748387
25,3808,0.5984444444444444,0.21330243783373026,0.41603292171534817,0.16099316501454225
26,3841,0.5968888888888889,0.2667356182576698,0.4031948410371598,0.20965944079773688
27,1982,0.5886666666666666,0.14900928054007284,0.24058282749350365,0.12238608902510888
28,596,0.5666666666666667,0.11113310723197814,0.31039506855901744,0.08958603030977878
29,3665,0.5815555555555555,0.11673356285531562,0.3988138035358145,0.09618568628476368
30,3955,0.5877777777777777,0.2374771420115492,0.3909586647723408,0.22929455725772613
31,2777,0.5577777777777777,0.12009408210317347,0.4190413090340927,0.10883651710987445
32,2845,0.5362222222222222,0.10295262614945706,0.2933179906624363,0.11375211205472632
33,3178,0.5953333333333334,0.1833035934834298,0.4948080201903002,0.15865732178377986
34,2041,0.5526666666666666,0.12888715067237988,0.2594757781900639,0.14859733487728052
35,4140,0.5740000000000001,0.26590685654635887,0.3195943252798735,0.2867859465926705
36,3106,0.5755555555555555,0.15497585928572138,0.3723824118948043,0.20115301298509952
37,482,0.5611111111111111,0.18138856415353533,0.3138510688262728,0.16005833505324732
38,3280,0.5971111111111111,0.2082102472115385,0.4996354822409878,0.1588795429661437
39,2012,0.5668888888888889,0.1487853598445619,0.2501673349501245,0.16463277132421184
40,3690,0.5606666666666668,0.13242836970504804,0.3810235786849847,0.12185178693573755
41,2423,0.6475555555555556,0.24342316999841723,0.36763026763140416,0.25766833022259217
42,1141,0.5604444444444445,0.14528876856089137,0.41389001226548183,0.12613924785336986
43,569,0.5631111111111111,0.1388565976741048,0.3483494234903263,0.11864276139477799
44,3371,0.5488888888888889,0.16988254372523606,0.37843847554864224,0.146360503381783
45,3323,0.554888888888889,0.1597790664258583,0.3608038652827015,0.13009360790886065
46,959,0.5446666666666666,0.0756903121464892,0.2328559685928107,0.05257022378140501
47,1716,0.6040000000000001,0.22585080492763782,0.4848859401525278,0.23515817678065926
48,739,0.5724444444444444,0.15282229940321973,0.39456166617534716,0.12767200388981884
49,602,0.5768888888888889,0.13806104642446856,0.28293389156059073,0.11311270213536517
50,3567,0.5666666666666668,0.13475886632299158,0.26610536902440607,0.1121558414311582
