Time,Data
20231230_175400642,269.57mm;     79.58mm/s;
20231230_175400743,274.39mm;     43.36mm/s;
20231230_175400845,274.59mm;     0.00mm/s;
20231230_175400947,274.59mm;     0.00mm/s;
20231230_175401049,274.59mm;     0.00mm/s;
20231230_175401151,274.49mm;     -0.54mm/s;
20231230_175401254,274.49mm;     0.00mm/s;
20231230_175401305,274.49mm;     0.00mm/s;
20231230_175401407,274.49mm;     0.00mm/s;
20231230_175401509,274.49mm;     0.00mm/s;
20231230_175401611,274.49mm;     0.00mm/s;
20231230_175401713,274.49mm;     0.00mm/s;
20231230_175401815,274.49mm;     0.00mm/s;
20231230_175401916,274.49mm;     0.00mm/s;
20231230_175402018,274.49mm;     0.00mm/s;
20231230_175402120,274.49mm;     0.00mm/s;
20231230_175402222,274.49mm;     0.00mm/s;
20231230_175402324,274.49mm;     0.00mm/s;
20231230_175402426,274.49mm;     0.00mm/s;
20231230_175402528,274.49mm;     0.00mm/s;
20231230_175402631,274.49mm;     0.00mm/s;
20231230_175402733,274.49mm;     0.00mm/s;
20231230_175402835,274.49mm;     0.00mm/s;
20231230_175402937,274.49mm;     0.00mm/s;
20231230_175403039,274.49mm;     0.00mm/s;
20231230_175403141,274.59mm;     0.00mm/s;
20231230_175403244,274.59mm;     0.00mm/s;
20231230_175403346,274.59mm;     0.00mm/s;
20231230_175403448,274.59mm;     0.00mm/s;
20231230_175403499,274.69mm;     0.49mm/s;
20231230_175403601,274.69mm;     0.00mm/s;
20231230_175403702,274.80mm;     0.96mm/s;
20231230_175403805,274.80mm;     0.00mm/s;
20231230_175403906,274.80mm;     0.00mm/s;
20231230_175404009,274.80mm;     0.00mm/s;
20231230_175404111,274.80mm;     0.00mm/s;
20231230_175404214,274.90mm;     0.38mm/s;
20231230_175404315,274.90mm;     0.00mm/s;
20231230_175404417,274.90mm;     0.00mm/s;
20231230_175404518,274.90mm;     0.00mm/s;
20231230_175404619,274.90mm;     0.00mm/s;
20231230_175404721,275.00mm;     0.44mm/s;
20231230_175404823,275.00mm;     0.00mm/s;
20231230_175404925,275.00mm;     0.00mm/s;
20231230_175405026,275.00mm;     0.00mm/s;
20231230_175405127,275.00mm;     0.00mm/s;
20231230_175405229,275.00mm;     0.00mm/s;
20231230_175405331,275.00mm;     0.00mm/s;
20231230_175405433,275.00mm;     0.00mm/s;
20231230_175405535,275.00mm;     0.00mm/s;
20231230_175405637,275.00mm;     0.00mm/s;
20231230_175405739,275.00mm;     0.00mm/s;
20231230_175405840,275.10mm;     0.00mm/s;
20231230_175405943,275.10mm;     0.00mm/s;
20231230_175406043,275.10mm;     0.00mm/s;
20231230_175406095,275.10mm;     0.00mm/s;
20231230_175406247,275.10mm;     0.00mm/s;
20231230_175406299,275.10mm;     0.00mm/s;
20231230_175406401,275.10mm;     0.00mm/s;
